Error loading layout at './core/test-layouts': Path './core/test-layouts' either doesn't exist or is not a directory
Error loading layout from './layouts/test': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-gen': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-best': Is a directory (os error 21)
Error loading layout from './layouts/long-run': Is a directory (os error 21)
> gen: random restart greedy, 3 threads, top 1, from my-layout (2400s)

  1 layouts | best: -3.12T | 1/s | 0.7s   
  4 layouts | best: -1.58T | 3/s | 1.4s   
  7 layouts | best: -1.58T | 3/s | 2.1s   
  10 layouts | best: -1.46T | 2/s | 4.7s   
  13 layouts | best: -1.18T | 2/s | 5.4s   
  16 layouts | best: -1.18T | 2/s | 6.5s   
  17 layouts | best: -1.18T | 2/s | 8.6s   
  940 layouts | best: -1.02T | 2/s | 418.6s   
  943 layouts | best: -1.02T | 2/s | 419.4s   
  946 layouts | best: -1.02T | 2/s | 420.2s   
  949 layouts | best: -1.02T | 2/s | 420.9s   
  951 layouts | best: -1.02T | 2/s | 421.7s   
  953 layouts | best: -1.02T | 2/s | 422.4s   
  955 layouts | best: -1.02T | 2/s | 423.1s   
  958 layouts | best: -1.02T | 2/s | 423.9s   
  960 layouts | best: -1.02T | 2/s | 424.7s   
  962 layouts | best: -1.02T | 2/s | 426.0s   
  963 layouts | best: -1.02T | 2/s | 427.9s   
  965 layouts | best: -1.02T | 2/s | 428.6s   
  967 layouts | best: -1.02T | 2/s | 429.3s   
  968 layouts | best: -1.02T | 2/s | 429.9s   
  970 layouts | best: -1.02T | 2/s | 430.6s   
  972 layouts | best: -1.02T | 2/s | 431.4s   
  973 layouts | best: -1.02T | 2/s | 432.1s   
  974 layouts | best: -1.02T | 2/s | 432.7s   
  976 layouts | best: -1.02T | 2/s | 433.5s   
  979 layouts | best: -1.02T | 2/s | 434.2s   
  982 layouts | best: -1.02T | 2/s | 435.0s   
  984 layouts | best: -1.02T | 2/s | 437.0s   
  986 layouts | best: -1.02T | 2/s | 437.8s   
  988 layouts | best: -1.02T | 2/s | 438.5s   
  989 layouts | best: -1.02T | 2/s | 439.1s   
  991 layouts | best: -1.02T | 2/s | 439.8s   
  994 layouts | best: -1.02T | 2/s | 440.5s   
  996 layouts | best: -1.02T | 2/s | 441.2s   
  998 layouts | best: -1.02T | 2/s | 442.0s   
  1.00K layouts | best: -1.02T | 2/s | 443.0s   
  1.00K layouts | best: -1.02T | 2/s | 443.8s   
  1.00K layouts | best: -1.02T | 2/s | 444.6s   
  1.00K layouts | best: -1.02T | 2/s | 445.2s   
  1.01K layouts | best: -1.02T | 2/s | 445.9s   
  1.01K layouts | best: -1.02T | 2/s | 446.6s   
  1.01K layouts | best: -1.02T | 2/s | 447.3s   
  1.01K layouts | best: -1.02T | 2/s | 448.0s   
  1.01K layouts | best: -1.02T | 2/s | 448.7s   
  1.01K layouts | best: -1.02T | 2/s | 449.5s   
  1.02K layouts | best: -1.02T | 2/s | 450.2s   
  1.02K layouts | best: -1.02T | 2/s | 451.0s   
  1.02K layouts | best: -1.02T | 2/s | 451.7s   
  1.02K layouts | best: -1.02T | 2/s | 452.7s   
  1.03K layouts | best: -1.02T | 2/s | 453.5s   
  1.03K layouts | best: -1.02T | 2/s | 454.2s   
  1.03K layouts | best: -1.02T | 2/s | 454.9s   
  1.03K layouts | best: -1.02T | 2/s | 455.6s   
  1.04K layouts | best: -1.02T | 2/s | 456.4s   
  1.04K layouts | best: -1.02T | 2/s | 457.9s   
  1.04K layouts | best: -1.02T | 2/s | 458.9s   
  1.04K layouts | best: -1.02T | 2/s | 459.7s   
  1.04K layouts | best: -1.02T | 2/s | 460.4s   
  1.04K layouts | best: -1.02T | 2/s | 461.3s   
  1.04K layouts | best: -1.02T | 2/s | 462.0s   
  1.04K layouts | best: -1.02T | 2/s | 462.7s   
  1.05K layouts | best: -1.02T | 2/s | 463.4s   
  1.05K layouts | best: -1.02T | 2/s | 464.2s   
  1.05K layouts | best: -1.02T | 2/s | 464.9s   
  1.05K layouts | best: -1.02T | 2/s | 465.7s   
  1.06K layouts | best: -1.02T | 2/s | 466.3s   
  1.06K layouts | best: -1.02T | 2/s | 467.3s   
  1.06K layouts | best: -1.02T | 2/s | 468.1s   
  1.06K layouts | best: -1.02T | 2/s | 468.9s   
  1.06K layouts | best: -1.02T | 2/s | 471.2s   
  1.06K layouts | best: -1.02T | 2/s | 472.0s   
  1.07K layouts | best: -1.02T | 2/s | 473.0s   
  1.07K layouts | best: -1.02T | 2/s | 473.9s   
  1.07K layouts | best: -1.02T | 2/s | 474.7s   
  1.07K layouts | best: -1.02T | 2/s | 475.6s   
  1.07K layouts | best: -1.02T | 2/s | 476.3s   
  1.07K layouts | best: -1.02T | 2/s | 477.0s   
  1.08K layouts | best: -1.02T | 2/s | 477.8s   
  1.08K layouts | best: -1.02T | 2/s | 478.5s   
  1.08K layouts | best: -1.02T | 2/s | 479.3s   
  1.08K layouts | best: -1.02T | 2/s | 480.0s   
  1.08K layouts | best: -1.02T | 2/s | 481.4s   
  1.09K layouts | best: -1.02T | 2/s | 483.0s   
  1.09K layouts | best: -1.02T | 2/s | 483.7s   
  1.09K layouts | best: -1.02T | 2/s | 484.3s   
  1.09K layouts | best: -1.02T | 2/s | 485.1s   
  1.09K layouts | best: -1.02T | 2/s | 487.4s   
  1.10K layouts | best: -1.02T | 2/s | 488.1s   
  1.10K layouts | best: -1.02T | 2/s | 488.8s   
  1.10K layouts | best: -1.02T | 2/s | 489.8s   
  1.10K layouts | best: -1.02T | 2/s | 490.4s   
  1.10K layouts | best: -1.02T | 2/s | 491.3s   
  1.10K layouts | best: -1.02T | 2/s | 492.0s   
  1.10K layouts | best: -1.02T | 2/s | 492.8s   
  1.11K layouts | best: -1.02T | 2/s | 493.5s   
  1.11K layouts | best: -1.02T | 2/s | 494.2s   
  1.11K layouts | best: -1.02T | 2/s | 495.0s   
  1.11K layouts | best: -1.02T | 2/s | 495.7s   
  1.11K layouts | best: -1.02T | 2/s | 496.4s   
  1.12K layouts | best: -1.02T | 2/s | 497.2s   
  1.12K layouts | best: -1.02T | 2/s | 497.9s   
  1.12K layouts | best: -1.02T | 2/s | 498.6s   
  1.12K layouts | best: -1.02T | 2/s | 499.3s   
  1.12K layouts | best: -1.02T | 2/s | 500.6s   
  1.12K layouts | best: -1.02T | 2/s | 501.3s   
  1.12K layouts | best: -1.02T | 2/s | 501.9s   
  1.13K layouts | best: -1.02T | 2/s | 502.8s   
  1.13K layouts | best: -1.02T | 2/s | 503.5s   
  1.13K layouts | best: -1.02T | 2/s | 504.3s   
  1.13K layouts | best: -1.02T | 2/s | 504.9s   
  1.13K layouts | best: -1.02T | 2/s | 505.7s   
  1.14K layouts | best: -1.02T | 2/s | 506.4s   
  1.14K layouts | best: -1.02T | 2/s | 507.1s   
  1.14K layouts | best: -1.02T | 2/s | 507.9s   
  1.14K layouts | best: -1.02T | 2/s | 510.1s   
  1.14K layouts | best: -1.02T | 2/s | 510.8s   
  1.15K layouts | best: -1.02T | 2/s | 511.5s   
  1.15K layouts | best: -1.02T | 2/s | 512.2s   
  1.15K layouts | best: -1.02T | 2/s | 512.9s   
  1.15K layouts | best: -1.02T | 2/s | 513.7s   
  1.16K layouts | best: -1.02T | 2/s | 514.4s   
  1.16K layouts | best: -1.02T | 2/s | 515.1s   
  1.16K layouts | best: -1.02T | 2/s | 515.8s   
  1.16K layouts | best: -1.02T | 2/s | 516.6s   
  1.16K layouts | best: -1.02T | 2/s | 517.3s   
  1.17K layouts | best: -1.02T | 2/s | 518.0s   
  1.17K layouts | best: -1.02T | 2/s | 518.8s   
  1.17K layouts | best: -1.02T | 2/s | 519.6s   
  1.17K layouts | best: -1.02T | 2/s | 520.3s   
  1.17K layouts | best: -1.02T | 2/s | 521.0s   
  1.18K layouts | best: -1.02T | 2/s | 521.8s   
  1.18K layouts | best: -1.02T | 2/s | 522.5s   
  1.18K layouts | best: -1.02T | 2/s | 523.4s   
  1.18K layouts | best: -1.02T | 2/s | 524.1s   
  1.19K layouts | best: -1.02T | 2/s | 524.8s   
  1.19K layouts | best: -1.02T | 2/s | 525.5s   
  1.19K layouts | best: -1.02T | 2/s | 526.3s   
  1.19K layouts | best: -1.02T | 2/s | 527.0s   
  1.19K layouts | best: -1.02T | 2/s | 527.8s   
  1.20K layouts | best: -1.02T | 2/s | 528.5s   
  1.20K layouts | best: -1.02T | 2/s | 529.0s   
  1.20K layouts | best: -1.02T | 2/s | 529.7s   
  1.20K layouts | best: -1.02T | 2/s | 530.6s   
  1.20K layouts | best: -1.02T | 2/s | 531.4s   
  1.21K layouts | best: -1.02T | 2/s | 532.1s   
  1.21K layouts | best: -1.02T | 2/s | 532.9s   
  1.21K layouts | best: -1.02T | 2/s | 533.6s   
  1.21K layouts | best: -1.02T | 2/s | 534.4s   
  1.21K layouts | best: -1.02T | 2/s | 535.2s   
  1.21K layouts | best: -1.02T | 2/s | 535.9s   
  1.21K layouts | best: -1.02T | 2/s | 536.8s   
  1.22K layouts | best: -1.02T | 2/s | 537.5s   
  1.22K layouts | best: -1.02T | 2/s | 538.4s   
  1.22K layouts | best: -1.02T | 2/s | 539.2s   
  1.22K layouts | best: -1.02T | 2/s | 539.8s   
  1.22K layouts | best: -1.02T | 2/s | 540.5s   
  1.22K layouts | best: -1.02T | 2/s | 541.2s   
  1.23K layouts | best: -1.02T | 2/s | 542.0s   
  1.23K layouts | best: -1.02T | 2/s | 542.8s   
  1.23K layouts | best: -1.02T | 2/s | 543.6s   
  1.23K layouts | best: -1.02T | 2/s | 544.3s   
  1.23K layouts | best: -1.02T | 2/s | 544.9s   
  1.23K layouts | best: -1.02T | 2/s | 545.6s   
  1.24K layouts | best: -1.02T | 2/s | 546.4s   
  1.24K layouts | best: -1.02T | 2/s | 547.1s   
  1.24K layouts | best: -1.02T | 2/s | 547.9s   
  1.24K layouts | best: -1.02T | 2/s | 548.7s   
  1.24K layouts | best: -1.02T | 2/s | 549.4s   
  1.24K layouts | best: -1.02T | 2/s | 550.4s   
  1.25K layouts | best: -1.02T | 2/s | 551.2s   
  1.25K layouts | best: -1.02T | 2/s | 551.9s   
  1.25K layouts | best: -1.02T | 2/s | 552.4s   
  1.25K layouts | best: -1.02T | 2/s | 553.1s   
  1.25K layouts | best: -1.02T | 2/s | 553.8s   
  1.25K layouts | best: -1.02T | 2/s | 554.5s   
  1.26K layouts | best: -1.02T | 2/s | 555.3s   
  1.26K layouts | best: -1.02T | 2/s | 556.0s   
  1.26K layouts | best: -1.02T | 2/s | 556.7s   
  1.26K layouts | best: -1.02T | 2/s | 557.3s   
  1.26K layouts | best: -1.02T | 2/s | 558.0s   
  1.26K layouts | best: -1.02T | 2/s | 558.8s   
  1.27K layouts | best: -1.02T | 2/s | 559.5s   
  1.27K layouts | best: -1.02T | 2/s | 560.3s   
  1.27K layouts | best: -1.02T | 2/s | 561.1s   
  1.28K layouts | best: -1.02T | 2/s | 561.8s   
  1.28K layouts | best: -1.02T | 2/s | 562.5s   
  1.28K layouts | best: -1.02T | 2/s | 563.3s   
  1.28K layouts | best: -1.02T | 2/s | 564.0s   
  1.28K layouts | best: -1.02T | 2/s | 565.6s   
  1.29K layouts | best: -1.02T | 2/s | 566.2s   
  1.29K layouts | best: -1.02T | 2/s | 566.9s   
  1.29K layouts | best: -1.02T | 2/s | 567.6s   
  1.29K layouts | best: -1.02T | 2/s | 568.4s   
  1.29K layouts | best: -1.02T | 2/s | 568.9s   
  1.29K layouts | best: -1.02T | 2/s | 570.0s   
  1.30K layouts | best: -1.02T | 2/s | 570.7s   
  1.30K layouts | best: -1.02T | 2/s | 571.5s   
  1.30K layouts | best: -1.02T | 2/s | 572.2s   
  1.30K layouts | best: -1.02T | 2/s | 573.0s   
  1.31K layouts | best: -1.02T | 2/s | 573.7s   
  1.31K layouts | best: -1.02T | 2/s | 574.5s   
  1.31K layouts | best: -1.02T | 2/s | 575.2s   
  1.31K layouts | best: -1.02T | 2/s | 576.0s   
  1.31K layouts | best: -1.02T | 2/s | 577.0s   
  1.32K layouts | best: -1.02T | 2/s | 578.9s   
  1.32K layouts | best: -1.02T | 2/s | 579.7s   
  1.32K layouts | best: -1.02T | 2/s | 580.5s   
  1.32K layouts | best: -1.02T | 2/s | 581.6s   
  1.32K layouts | best: -1.02T | 2/s | 582.4s   
  1.32K layouts | best: -1.02T | 2/s | 583.2s   
  1.33K layouts | best: -1.02T | 2/s | 583.7s   
  1.33K layouts | best: -1.02T | 2/s | 584.5s   
  1.33K layouts | best: -1.02T | 2/s | 585.2s   
  1.33K layouts | best: -1.02T | 2/s | 586.0s   
  1.34K layouts | best: -1.02T | 2/s | 586.7s   
  1.34K layouts | best: -1.02T | 2/s | 587.3s   
  1.34K layouts | best: -1.02T | 2/s | 588.1s   
  1.34K layouts | best: -1.02T | 2/s | 588.8s   
  1.34K layouts | best: -1.02T | 2/s | 589.5s   
  1.34K layouts | best: -1.02T | 2/s | 590.1s   
  1.35K layouts | best: -1.02T | 2/s | 591.0s   
  1.35K layouts | best: -1.02T | 2/s | 591.8s   
  1.35K layouts | best: -1.02T | 2/s | 592.5s   
  1.35K layouts | best: -1.02T | 2/s | 593.3s   
  1.35K layouts | best: -1.02T | 2/s | 593.8s   
  1.35K layouts | best: -1.02T | 2/s | 595.2s   
  1.35K layouts | best: -1.02T | 2/s | 596.0s   
  1.36K layouts | best: -1.02T | 2/s | 596.7s   
  1.36K layouts | best: -1.02T | 2/s | 597.7s   
  1.36K layouts | best: -1.02T | 2/s | 598.5s   
  1.36K layouts | best: -1.02T | 2/s | 599.3s   
  1.36K layouts | best: -1.02T | 2/s | 600.0s   
  1.37K layouts | best: -1.02T | 2/s | 601.3s   
  1.37K layouts | best: -1.02T | 2/s | 602.1s   
  1.37K layouts | best: -1.02T | 2/s | 602.9s   
  1.37K layouts | best: -1.02T | 2/s | 603.6s   
  1.37K layouts | best: -1.02T | 2/s | 604.3s   
  1.38K layouts | best: -1.02T | 2/s | 605.0s   
  1.38K layouts | best: -1.02T | 2/s | 605.8s   
  1.38K layouts | best: -1.02T | 2/s | 606.6s   
  1.38K layouts | best: -1.02T | 2/s | 607.3s   
  1.39K layouts | best: -1.02T | 2/s | 608.2s   
  1.39K layouts | best: -1.02T | 2/s | 609.0s   
  1.39K layouts | best: -1.02T | 2/s | 609.8s   
  1.39K layouts | best: -1.02T | 2/s | 610.5s   
  1.40K layouts | best: -1.02T | 2/s | 611.3s   
  1.40K layouts | best: -1.02T | 2/s | 612.1s   
  1.40K layouts | best: -1.02T | 2/s | 613.0s   
  1.40K layouts | best: -1.02T | 2/s | 613.7s   
  1.40K layouts | best: -1.02T | 2/s | 614.3s   
  1.40K layouts | best: -1.02T | 2/s | 615.0s   
  1.40K layouts | best: -1.02T | 2/s | 615.7s   
  1.41K layouts | best: -1.02T | 2/s | 616.6s   
  1.41K layouts | best: -1.02T | 2/s | 617.4s   
  1.41K layouts | best: -1.02T | 2/s | 618.1s   
  1.41K layouts | best: -1.02T | 2/s | 618.8s   
  1.41K layouts | best: -1.02T | 2/s | 619.6s   
  1.42K layouts | best: -1.02T | 2/s | 620.3s   
  1.42K layouts | best: -1.02T | 2/s | 621.0s   
  1.42K layouts | best: -1.02T | 2/s | 621.8s   
  1.42K layouts | best: -1.02T | 2/s | 622.5s   
  1.42K layouts | best: -1.02T | 2/s | 623.2s   
  1.43K layouts | best: -1.02T | 2/s | 623.7s   
  1.43K layouts | best: -1.02T | 2/s | 624.4s   
  1.43K layouts | best: -1.02T | 2/s | 625.2s   
  1.43K layouts | best: -1.02T | 2/s | 625.9s   
  1.43K layouts | best: -1.02T | 2/s | 628.1s   
  1.44K layouts | best: -1.02T | 2/s | 628.9s   
  1.44K layouts | best: -1.02T | 2/s | 629.6s   
  1.44K layouts | best: -1.02T | 2/s | 630.3s   
  1.44K layouts | best: -1.02T | 2/s | 631.0s   
  1.45K layouts | best: -1.02T | 2/s | 631.8s   
  1.45K layouts | best: -1.02T | 2/s | 632.3s   
  1.45K layouts | best: -1.02T | 2/s | 633.0s   
  1.45K layouts | best: -1.02T | 2/s | 633.9s   
  1.45K layouts | best: -1.02T | 2/s | 634.4s   
  1.46K layouts | best: -1.02T | 2/s | 635.4s   
  1.46K layouts | best: -1.02T | 2/s | 636.1s   
  1.46K layouts | best: -1.02T | 2/s | 636.8s   
  1.46K layouts | best: -1.02T | 2/s | 637.5s   
  1.46K layouts | best: -1.02T | 2/s | 638.3s   
  1.46K layouts | best: -1.02T | 2/s | 639.0s   
  1.47K layouts | best: -1.02T | 2/s | 639.7s   
  1.47K layouts | best: -1.02T | 2/s | 640.5s   
  1.47K layouts | best: -1.02T | 2/s | 641.2s   
  1.47K layouts | best: -1.02T | 2/s | 642.0s   
  1.47K layouts | best: -1.02T | 2/s | 642.8s   
  1.48K layouts | best: -1.02T | 2/s | 643.5s   
  1.48K layouts | best: -1.02T | 2/s | 644.2s   
  1.48K layouts | best: -1.02T | 2/s | 644.9s   
  1.48K layouts | best: -1.02T | 2/s | 646.6s   
  1.48K layouts | best: -1.02T | 2/s | 647.3s   
  1.48K layouts | best: -1.02T | 2/s | 647.9s   
  1.49K layouts | best: -1.02T | 2/s | 648.7s   
  1.49K layouts | best: -1.02T | 2/s | 649.4s   
  1.49K layouts | best: -1.02T | 2/s | 650.2s   
  1.49K layouts | best: -1.02T | 2/s | 650.9s   
  1.49K layouts | best: -1.02T | 2/s | 651.7s   
  1.50K layouts | best: -1.02T | 2/s | 652.4s   
  1.50K layouts | best: -1.02T | 2/s | 653.2s   
  1.50K layouts | best: -1.02T | 2/s | 653.9s   
  1.50K layouts | best: -1.02T | 2/s | 654.7s   
  1.50K layouts | best: -1.02T | 2/s | 655.5s   
  1.50K layouts | best: -1.02T | 2/s | 656.2s   
  1.51K layouts | best: -1.02T | 2/s | 657.2s   
  1.51K layouts | best: -1.02T | 2/s | 657.9s   
  1.51K layouts | best: -1.02T | 2/s | 658.6s   
  1.51K layouts | best: -1.02T | 2/s | 659.5s   
  1.51K layouts | best: -1.02T | 2/s | 661.6s   
  1.51K layouts | best: -1.02T | 2/s | 662.2s   
  1.52K layouts | best: -1.02T | 2/s | 663.1s   
  1.52K layouts | best: -1.02T | 2/s | 663.8s   
  1.52K layouts | best: -1.02T | 2/s | 664.5s   
  1.52K layouts | best: -1.02T | 2/s | 665.1s   
  1.52K layouts | best: -1.02T | 2/s | 666.1s   
  1.52K layouts | best: -1.02T | 2/s | 666.8s   
  1.53K layouts | best: -1.02T | 2/s | 667.6s   
  1.53K layouts | best: -1.02T | 2/s | 668.3s   
  1.53K layouts | best: -1.02T | 2/s | 669.1s   
  1.53K layouts | best: -1.02T | 2/s | 669.8s   
  1.54K layouts | best: -1.02T | 2/s | 670.6s   
  1.54K layouts | best: -1.02T | 2/s | 671.3s   
  1.54K layouts | best: -1.02T | 2/s | 673.4s   
  1.54K layouts | best: -1.02T | 2/s | 674.2s   
  1.54K layouts | best: -1.02T | 2/s | 675.0s   
  1.55K layouts | best: -1.02T | 2/s | 676.1s   
  1.55K layouts | best: -1.02T | 2/s | 676.8s   
  1.55K layouts | best: -1.02T | 2/s | 677.9s   
  1.55K layouts | best: -1.02T | 2/s | 678.9s   
  1.55K layouts | best: -1.02T | 2/s | 679.6s   
  1.55K layouts | best: -1.02T | 2/s | 680.4s   
  1.56K layouts | best: -1.02T | 2/s | 681.2s   
  1.56K layouts | best: -1.02T | 2/s | 683.1s   
  1.56K layouts | best: -1.02T | 2/s | 683.6s   
  1.56K layouts | best: -1.02T | 2/s | 684.4s   
  1.56K layouts | best: -1.02T | 2/s | 685.1s   
  1.57K layouts | best: -1.02T | 2/s | 685.8s   
  1.57K layouts | best: -1.02T | 2/s | 686.4s   
  1.57K layouts | best: -1.02T | 2/s | 687.1s   
  1.57K layouts | best: -1.02T | 2/s | 687.8s   
  1.57K layouts | best: -1.02T | 2/s | 688.6s   
  1.57K layouts | best: -1.02T | 2/s | 689.3s   
  1.58K layouts | best: -1.02T | 2/s | 690.0s   
  1.58K layouts | best: -1.02T | 2/s | 690.7s   
  1.58K layouts | best: -1.02T | 2/s | 691.7s   
  1.58K layouts | best: -1.02T | 2/s | 692.4s   
  1.58K layouts | best: -1.02T | 2/s | 693.1s   
  1.58K layouts | best: -1.02T | 2/s | 693.8s   
  1.59K layouts | best: -1.02T | 2/s | 694.6s   
  1.59K layouts | best: -1.02T | 2/s | 695.3s   
  1.59K layouts | best: -1.02T | 2/s | 696.0s   
  1.59K layouts | best: -1.02T | 2/s | 696.8s   
  1.59K layouts | best: -1.02T | 2/s | 697.5s   
  1.59K layouts | best: -1.02T | 2/s | 698.3s   
  1.60K layouts | best: -1.02T | 2/s | 699.0s   
  1.60K layouts | best: -1.02T | 2/s | 699.7s   
  1.60K layouts | best: -1.02T | 2/s | 700.5s   
  1.60K layouts | best: -1.02T | 2/s | 702.0s   
  1.60K layouts | best: -1.02T | 2/s | 702.7s   
  1.60K layouts | best: -1.02T | 2/s | 703.4s   
  1.61K layouts | best: -1.02T | 2/s | 704.1s   
  1.61K layouts | best: -1.02T | 2/s | 704.8s   
  1.61K layouts | best: -1.02T | 2/s | 705.7s   
  1.61K layouts | best: -1.02T | 2/s | 706.6s   
  1.61K layouts | best: -1.02T | 2/s | 707.3s   
  1.62K layouts | best: -1.02T | 2/s | 708.1s   
  1.62K layouts | best: -1.02T | 2/s | 709.3s   
  1.62K layouts | best: -1.02T | 2/s | 711.1s   
  1.62K layouts | best: -1.02T | 2/s | 711.8s   
  1.62K layouts | best: -1.02T | 2/s | 712.4s   
  1.63K layouts | best: -1.02T | 2/s | 713.2s   
  1.63K layouts | best: -1.02T | 2/s | 713.9s   
  1.63K layouts | best: -1.02T | 2/s | 714.7s   
  1.64K layouts | best: -1.02T | 2/s | 715.5s   
  1.64K layouts | best: -1.02T | 2/s | 716.3s   
  1.64K layouts | best: -1.02T | 2/s | 717.0s   
  1.64K layouts | best: -1.02T | 2/s | 717.7s   
  1.64K layouts | best: -1.02T | 2/s | 718.6s   
  1.65K layouts | best: -1.02T | 2/s | 719.3s   
  1.65K layouts | best: -1.02T | 2/s | 720.0s   
  1.65K layouts | best: -1.02T | 2/s | 720.7s   
  1.65K layouts | best: -1.02T | 2/s | 721.5s   
  1.65K layouts | best: -1.02T | 2/s | 722.2s   
  1.66K layouts | best: -1.02T | 2/s | 722.9s   
  1.66K layouts | best: -1.02T | 2/s | 723.7s   
  1.66K layouts | best: -1.02T | 2/s | 724.5s   
  1.66K layouts | best: -1.02T | 2/s | 725.2s   
  1.67K layouts | best: -1.02T | 2/s | 726.6s   
  1.67K layouts | best: -1.02T | 2/s | 727.4s   
  1.67K layouts | best: -1.02T | 2/s | 728.1s   
  1.67K layouts | best: -1.02T | 2/s | 728.8s   
  1.67K layouts | best: -1.02T | 2/s | 729.6s   
  1.67K layouts | best: -1.02T | 2/s | 730.3s   
  1.68K layouts | best: -1.02T | 2/s | 731.1s   
  1.68K layouts | best: -1.02T | 2/s | 731.7s   
  1.68K layouts | best: -1.02T | 2/s | 732.4s   
  1.68K layouts | best: -1.02T | 2/s | 733.2s   
  1.68K layouts | best: -1.02T | 2/s | 735.6s   
  1.69K layouts | best: -1.02T | 2/s | 736.3s   
  1.69K layouts | best: -1.02T | 2/s | 737.1s   
  1.69K layouts | best: -1.02T | 2/s | 737.8s   
  1.69K layouts | best: -1.02T | 2/s | 739.1s   
  1.69K layouts | best: -1.02T | 2/s | 739.7s   
  1.69K layouts | best: -1.02T | 2/s | 740.6s   
  1.70K layouts | best: -1.02T | 2/s | 741.5s   
  1.70K layouts | best: -1.02T | 2/s | 742.3s   
  1.70K layouts | best: -1.02T | 2/s | 743.2s   
  1.70K layouts | best: -1.02T | 2/s | 744.0s   
  1.70K layouts | best: -1.02T | 2/s | 744.7s   
  1.70K layouts | best: -1.02T | 2/s | 745.4s   
  1.71K layouts | best: -1.02T | 2/s | 746.1s   
  1.71K layouts | best: -1.02T | 2/s | 746.9s   
  1.71K layouts | best: -1.02T | 2/s | 747.6s   
  1.71K layouts | best: -1.02T | 2/s | 748.1s   
  1.71K layouts | best: -1.02T | 2/s | 748.8s   
  1.72K layouts | best: -1.02T | 2/s | 749.6s   
  1.72K layouts | best: -1.02T | 2/s | 750.3s   
  1.72K layouts | best: -1.02T | 2/s | 751.0s   
  1.72K layouts | best: -1.02T | 2/s | 751.7s   
  1.72K layouts | best: -1.02T | 2/s | 752.5s   
  1.73K layouts | best: -1.02T | 2/s | 753.2s   
  1.73K layouts | best: -1.02T | 2/s | 753.9s   
  1.73K layouts | best: -1.02T | 2/s | 754.7s   
  1.73K layouts | best: -1.02T | 2/s | 755.4s   
  1.73K layouts | best: -1.02T | 2/s | 756.1s   
  1.74K layouts | best: -1.02T | 2/s | 756.9s   
  1.74K layouts | best: -1.02T | 2/s | 757.7s   
  1.74K layouts | best: -1.02T | 2/s | 758.3s   
  1.74K layouts | best: -1.02T | 2/s | 759.9s   
  1.74K layouts | best: -1.02T | 2/s | 760.7s   
  1.74K layouts | best: -1.02T | 2/s | 761.2s   
  1.74K layouts | best: -1.02T | 2/s | 761.8s   
  1.75K layouts | best: -1.02T | 2/s | 762.6s   
  1.75K layouts | best: -1.02T | 2/s | 763.3s   
  1.75K layouts | best: -1.02T | 2/s | 764.0s   
  1.75K layouts | best: -1.02T | 2/s | 764.7s   
  1.75K layouts | best: -1.02T | 2/s | 765.5s   
  1.76K layouts | best: -1.02T | 2/s | 766.2s   
  1.76K layouts | best: -1.02T | 2/s | 766.9s   
  1.76K layouts | best: -1.02T | 2/s | 767.6s   
  1.76K layouts | best: -1.02T | 2/s | 768.2s   
  1.76K layouts | best: -1.02T | 2/s | 769.0s   
  1.76K layouts | best: -1.02T | 2/s | 769.7s   
  1.77K layouts | best: -1.02T | 2/s | 770.4s   
  1.77K layouts | best: -1.02T | 2/s | 771.1s   
  1.77K layouts | best: -1.02T | 2/s | 772.3s   
  1.77K layouts | best: -1.02T | 2/s | 773.0s   
  1.77K layouts | best: -1.02T | 2/s | 773.8s   
  1.77K layouts | best: -1.02T | 2/s | 774.5s   
  1.78K layouts | best: -1.02T | 2/s | 775.3s   
  1.78K layouts | best: -1.02T | 2/s | 776.3s   
  1.78K layouts | best: -1.02T | 2/s | 777.0s   
  1.78K layouts | best: -1.02T | 2/s | 778.0s   
  1.78K layouts | best: -1.02T | 2/s | 778.5s   
  1.78K layouts | best: -1.02T | 2/s | 779.2s   
  1.78K layouts | best: -1.02T | 2/s | 779.8s   
  1.79K layouts | best: -1.02T | 2/s | 780.6s   
  1.79K layouts | best: -1.02T | 2/s | 781.3s   
  1.79K layouts | best: -1.02T | 2/s | 782.0s   
  1.79K layouts | best: -1.02T | 2/s | 782.7s   
  1.79K layouts | best: -1.02T | 2/s | 783.5s   
  1.80K layouts | best: -1.02T | 2/s | 784.2s   
  1.80K layouts | best: -1.02T | 2/s | 784.9s   
  1.80K layouts | best: -1.02T | 2/s | 785.7s   
  1.80K layouts | best: -1.02T | 2/s | 788.0s   
  1.81K layouts | best: -1.02T | 2/s | 788.7s   
  1.81K layouts | best: -1.02T | 2/s | 789.5s   
  1.81K layouts | best: -1.02T | 2/s | 791.3s   
  1.81K layouts | best: -1.02T | 2/s | 791.9s   
  1.81K layouts | best: -1.02T | 2/s | 792.8s   
  1.81K layouts | best: -1.02T | 2/s | 793.5s   
  1.81K layouts | best: -1.02T | 2/s | 794.3s   
  1.82K layouts | best: -1.02T | 2/s | 795.0s   
  1.82K layouts | best: -1.02T | 2/s | 795.6s   
  1.82K layouts | best: -1.02T | 2/s | 796.4s   
  1.82K layouts | best: -1.02T | 2/s | 797.8s   
  1.82K layouts | best: -1.02T | 2/s | 798.4s   
